55	87.89
45	64.57
37	49.44
30	39.06
24	31.64
21	26.15
19	21.97
18	18.72
14	16.14
12	14.06
11	12.36
10	10.95
9	9.77
8	8.76
7	7.91
6	7.17
5.5	6.54
5	5.98
4.5	5.49
3.6	5.06
3.4	4.68
2.8	4.34
2.6	4.04
2.6	3.76
2.4	3.52
2.2	3.29
2.1	3.09
2.1	2.91
2.2	2.74
2.0	2.58
2.0	2.44
1.9	2.31
